,C14:0,C15:0,C16:0,trans C16:1n-7,C16:1n-7,C17:0,C18:0,trans C18:1n-9,trans C18:1n-7,C18:1n-9,C18:1n-7,trans C18:2n-6,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3n-6,"C20:4n-6,AA",C22:0,"C20:5n-3,EPA",C22:4n-6,C24:0,C24:1n-9,"C22:5n-3,DPA","C22:6n-3,DHA"
N-MHT1131,278242,55437,9574365,26,94309,77107,4087892,4341,4590,1604508,114527,2616,2954162,26210,117208,49121,10645,7678,142227,1529165,59580,28733,85633,89358,24653,74122,132903
N-MHT1132,350034,109630,9309391,14486,130004,109778,4369700,2770,10340,1143992,96734,4304,2467217,70739,112982,56632,9738,7090,208311,2006810,73310,70919,119172,115860,36576,95048,104062
N-MHT1133,417096,42010,11053547,13237,178857,44178,4324828,3375,3523,1177261,84108,2459,2455505,75544,183747,57501,9389,8287,204313,1649176,69985,96946,118630,112900,34657,83758,158246
N-MHT1134,1128259,106479,19935413,9260,447636,151890,8051169,12007,16042,2968712,236469,3261,2426157,68066,123756,80777,21348,13235,339429,3140678,106728,92749,286500,187847,42381,121404,190783
N-MHT1135,544867,103986,10392342,2459,132569,96827,4490514,2857,16641,1433946,82771,3379,2751872,76726,187708,64675,9018,5056,247664,1832533,86682,61165,120236,126147,28129,76380,84959
N-MHT1136,585593,149381,19593757,700,303863,138891,6168315,5640,9702,2797871,216388,3370,3713809,95154,184272,88885,21486,14991,525626,3900110,133540,89431,274721,192108,61478,83915,272216
N-MHT1137,264556,58224,8169390,6909,61806,75194,3756545,3035,5272,1025950,71227,3072,2604099,17247,100972,60328,7670,7513,92795,1250930,76901,18493,107673,106334,27998,40485,122415
N-MHT1138,192062,63523,7898135,41,69479,77272,3634241,1943,9491,1084612,70963,2528,1700782,28349,34547,41547,10177,5710,178788,1518882,73320,26567,137042,117853,31733,51359,143860
N-MHT1139,684961,140663,10336114,162,113099,135515,5080352,6276,22746,1419630,80541,3793,2168031,67516,99958,56541,9291,6857,276403,1797274,61926,75180,120947,88285,17091,65444,146073
N-MHT1140,199833,41964,6517547,32,32768,68027,3562244,1848,3967,928541,53667,2418,1153035,50872,44363,38758,8258,4570,103172,2029289,64783,31024,183229,121349,28481,46056,121333
QC1,250853,60824,9003371,271,64177,80380,4439143,2596,3865,1034028,77272,2514,2245597,16096,91172,63191,8968,7201,93156,1340206,87512,99993,84175,106165,31229,48814,187909
QC2,257691,68915,8838441,1316,52169,81044,4487934,2359,4179,1105292,81021,4184,2636665,15159,73280,57738,10583,7873,128086,1557686,74433,127090,106675,111070,29826,66373,200980
M-MHT1131,303169,66316,10371992,1399,94715,88551,4612855,4530,3849,1637499,117256,2505,2862787,24109,111538,79690,11237,7721,137487,1539545,125452,26873,96309,139850,30609,46471,136508
M-MHT1132,299124,98520,8594082,16,101931,99270,4269859,2197,8702,993309,83942,3114,2091256,58909,93210,74180,8033,6567,182304,1833669,128156,61128,119359,142923,38036,64904,98173
M-MHT1133,464676,49760,11510240,621,147380,51288,5146593,6895,4329,1075634,75522,2524,2156926,61029,156125,89256,9653,7952,193349,1688441,139072,89509,140962,151643,37050,68684,160254
M-MHT1134,508114,51361,10331649,196,195582,77313,4495040,4865,7877,1461756,112489,1565,1165448,31547,52588,61849,9779,6651,170904,1722187,110324,44920,166808,134865,23130,57859,101976
M-MHT1135,479723,98970,9783331,2145,110457,92817,4589084,3503,14447,1290368,76298,3449,2342627,54607,150790,93103,8521,4679,218993,1728698,154200,52778,130193,161544,29391,62534,80318
M-MHT1136,281737,76965,10498361,98,136221,73400,3832094,3013,5198,1379615,104020,2114,1801754,43190,80497,82852,11121,7780,254189,2154387,140180,43954,176487,140040,33227,45725,145091
M-MHT1137,436975,92269,13150260,195,84384,125276,6918448,7763,9305,1576621,116587,4739,3779718,20270,155873,137982,14408,12309,160535,2293762,220114,32443,226337,221573,43834,63361,236035
M-MHT1138,101860,37266,5048892,920,36136,52272,2794502,1550,5856,623220,41000,2034,937769,22970,19893,47616,7115,4063,119977,1086541,91769,17403,117176,88231,15719,39477,107321
M-MHT1139,460638,103624,8129259,244,79435,110631,4354609,3334,17735,1059522,62672,3289,1627692,47787,70187,74535,6938,5521,224900,1591507,136874,59430,126974,145139,24806,58745,129314
M-MHT1140,199358,40543,6695747,4149,31124,72440,3977983,2938,3973,874231,50909,2867,1036083,41573,38549,66934,8153,4460,100621,2021596,141108,27332,210801,175736,36885,47217,128010
QC1,257588,63298,9325297,1084,67168,85666,4661122,3269,3183,1075800,78484,2852,2337322,16813,97897,67834,9541,7295,99021,1414510,99387,103194,90278,112917,33742,49460,200625
QC2,180775,49512,5929236,1447,35977,54188,2997422,1495,2656,731653,54369,1892,1754329,10457,47604,43196,7140,5151,81326,979132,56812,77592,65665,74931,19053,38359,125233
WB-MHT1141,411757,95291,9957219,3201,87731,97613,5208160,14260,11420,1269356,90321,7688,2419012,65239,100404,145795,11490,6751,218010,2428523,173242,65100,198007,193981,29882,96334,170468
WB-MHT1142,319398,55505,8300023,3518,49208,80746,4477974,12473,6722,986791,69080,7389,2428935,27092,72550,117956,8595,9388,188648,1879465,152984,30620,153081,162018,29466,51351,139964
WB-MHT1143,373550,81401,9652951,7917,121683,88767,5017946,26562,16928,1204955,92780,17107,2400830,42873,82446,177623,12002,6926,272162,1909746,198090,30153,171868,181674,35442,77431,144749
WB-MHT1144,273691,66155,7317626,73845,107368,66284,2974318,16207,7990,990486,68152,4803,1610090,26739,87651,169371,7212,4457,143613,1185324,169965,16617,86452,137591,18822,63288,77199
WB-MHT1145,329567,70678,12238147,18815,198267,92210,5719680,16567,9348,1380904,102184,7486,2405528,68354,102577,222095,12211,8332,240263,2951660,251851,81077,195482,221369,35296,103712,167440
WB-MHT1146,576413,124307,11784602,16056,116484,139823,5307398,51667,33069,1500809,84216,15588,1795022,66520,76595,160695,10628,5104,194677,1948562,189042,58310,180785,181974,29931,84572,68173
WB-MHT1147,482622,102743,13065329,2149,133033,137343,6479808,25797,14425,1796735,123393,13012,3089915,111581,81233,139565,17214,13893,384865,3309754,141238,63726,354829,157347,31253,200514,134068
WB-MHT1148,451449,119277,8943181,66785,154793,118421,4637538,13173,18289,1141439,72199,8847,1881108,29584,88167,196565,11149,5999,217275,1653164,193798,76895,148092,165530,18837,122910,119714
WB-MHT1149,443239,81314,9840987,482,89757,92504,4957165,19635,8216,1406553,64312,8797,2476772,48609,85405,150237,11622,7447,217620,1542568,176885,111660,87681,167325,26206,97195,219827
WB-MHT1150,225316,55717,9008383,21087,78706,79708,4650268,15097,5251,1054219,88900,9066,3475391,27649,75189,159683,9219,8808,158757,1772312,179668,48690,105509,155383,21625,79086,165811
