batch,ID,C14:0,C15:0,C16:0,trans C16:1n-7,C16:1n-7,C17:0,C18:0,trans C18:1n-9,trans C18:1n-7,C18:1n-9,C18:1n-7,trans C18:2n-6,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3n-6,"C20:4n-6,AA",C22:0,"C20:5n-3,EPA",C22:4n-6,C24:0,C24:1n-9,"C22:5n-3,DPA","C22:6n-3,DHA"
5,QC1,546564,137424,19341569,4692,161251,214958,9834624,8675,8689,1994754,152614,5744,4111514,36587,212987,162755,28075,17879,214724,2859925,226536,203654,193583,297138,86842,101488,415803
5,QC2,449118,121375,14986349,712,101863,162453,7766843,5524,8459,1651661,125528,5915,3766786,28765,130683,99401,21945,15150,213176,2389184,113464,187755,161222,167854,44882,91213,314666
5,402736-001,251426,77388,13540482,1281,123084,100145,6442600,3598,3220,1326547,115724,1612,3036461,12690,121253,84011,11849,9426,100355,1910433,92064,85687,71422,111654,15044,59047,271050
5,402736-002,683038,100286,14281068,1842,66512,126043,8402049,18506,5563,1451499,102787,2873,2132318,27384,149644,123664,13517,9384,131612,1823853,122102,116681,93351,91120,19418,62748,251691
5,402736-003,497462,79130,14968837,2470,52071,133371,8266029,5578,5595,1647385,94188,2936,4284656,26627,383553,151214,22296,13150,105074,2139656,111807,147770,95963,113744,20651,63527,331896
5,402736-004,494447,79832,16330984,2133,158546,89351,6813810,5015,2578,1623193,105219,2386,3583712,64437,145976,84180,11930,11382,194566,2206797,95423,67253,97561,137538,18787,53225,227505
5,402736-005,339638,60314,17171808,858,244009,85090,6891607,6074,2012,1757899,132231,1955,3298064,30663,142165,80213,15525,15752,239934,1592240,85608,94148,89440,72974,27621,65924,252036
5,402736-006,361123,54123,14638567,1021,419426,56951,5279895,5408,1916,1402333,108876,2394,1625172,58460,52650,76855,10876,6702,145271,2158353,91776,104056,96022,123188,23907,46481,224405
5,402736-007,562660,129548,15778983,3917,209493,131001,6569145,6101,8247,1477694,112906,3282,3157079,70933,114935,78281,11743,10310,189663,2200924,79333,123976,85897,137146,22154,57593,261542
5,402736-008,589211,113467,19029844,3305,216636,175335,8791844,9636,3749,2066589,136054,2696,3971571,89802,1230880,210256,22664,16571,198543,1825174,100669,218531,99673,105001,24168,101573,290788
5,402736-009,246319,51078,11515804,2642,71365,90940,5994422,4215,2325,1108463,98414,2607,3364145,19765,133339,91104,14988,9399,92232,1496851,98209,80047,90061,104251,24611,43339,132643
5,402736-010,164890,57880,10266642,2018,56973,97070,5475024,3692,4264,1089182,78394,1949,2651834,11280,61899,91106,8752,7110,106684,1556926,85504,53287,63394,90551,13871,39992,179401
5,QC1,425643,104818,14607886,2808,120338,169107,7291882,6221,6674,1698970,128130,3112,3473923,31304,180566,111517,19633,14076,179233,2417322,157181,166933,158198,185660,61863,90823,369301
5,QC2,134941,37990,4317922,573,28957,48046,2174084,1247,2582,512902,38734,751,1135067,8504,37017,19260,5631,3990,62167,696154,22067,52355,46703,30615,10238,29230,98519
5,402736-011,640208,139525,17158369,5343,158981,151330,8213490,6087,7542,1419466,96866,3190,3459033,34925,109100,104879,12881,10736,191389,2194203,147821,281970,141925,91025,36585,76667,438248
5,402736-012,461096,72165,18341706,829,160633,128941,9199411,7849,1599,1888317,122165,3935,3650242,76570,140501,118935,15086,13975,258487,2907640,146987,50685,156042,171604,36871,51574,256873
5,402736-013,223114,79557,15621828,2545,133704,137116,7496076,6511,2517,1386130,133059,3347,3498766,15251,139642,119065,14553,11624,116225,2446231,168513,255345,156055,135301,40293,68694,337861
5,402736-014,225013,74968,11132168,7010,75248,139763,6414094,4316,1299,913483,80026,3529,2651975,21537,230034,105981,13883,7496,102848,1756917,112502,360882,98680,65970,28286,57676,294327
