C14:0,C15:0,C16:0,C16:1n-7,C17:0,C18:0,C18:1n-9,C18:1n-7,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3 n-6,"C20:4n-6, AA",C22:0,"C20:5n-3, EPA",C22:4n-6 ,C24:0,C24:1n-9,"C22:5n3, DPA","C22:6n3, DHA"
0.019184861,0.00324916,0.427922908,0.003938711,0.005615864,0.222631086,0.056730429,0.004941133,0.123832413,0.00122109,0.003164226,0.002785589,0.0003891,0.000380986,0.005157052,0.086660202,0.00358609,0.004993782,0.004014006,0.002353987,0.000603762,0.003373788,0.012780784
0.008348564,0.002580828,0.436832295,0.004099715,0.004971193,0.208424249,0.065079975,0.004287699,0.119222065,0.00145357,0.004278463,0.00316731,0.000363888,0.000275239,0.005705573,0.08753262,0.004617713,0.010746717,0.004631128,0.003853731,0.001133787,0.003594925,0.011529266
0.011411899,0.003520414,0.437115179,0.003166172,0.005253293,0.227135156,0.059271642,0.004391192,0.112326191,0.000744603,0.004375983,0.003062118,0.000441513,0.000340804,0.006616384,0.078915334,0.00443269,0.006635228,0.005015853,0.004284512,0.001373706,0.004880937,0.012273815
0.008913131,0.003213862,0.443550038,0.00377133,0.005405386,0.225399839,0.055832796,0.005257773,0.124943286,0.000722283,0.00341464,0.002624898,0.000447382,0.000371325,0.004455841,0.076068717,0.00363028,0.006520917,0.004255034,0.003059533,0.001061122,0.003110507,0.011463734
0.009765466,0.003212303,0.436624211,0.004716418,0.005059443,0.217605684,0.058711927,0.00521496,0.137331925,0.000779341,0.004156205,0.003079519,0.00046301,0.000396866,0.006094088,0.064610315,0.004250592,0.007472351,0.003268307,0.003040888,0.001289729,0.004412154,0.014196338
0.024358238,0.003504484,0.439771396,0.003557897,0.004909324,0.215728633,0.054051424,0.003560682,0.125670816,0.00326649,0.006032989,0.003225918,0.000334155,0.000326265,0.005894293,0.072016691,0.003655512,0.005799494,0.003932203,0.001984873,0.000707728,0.003082997,0.012238861
0.007781393,0.0027828,0.439747523,0.002886158,0.004629631,0.218930905,0.053530609,0.004463464,0.133699269,0.000606373,0.002539716,0.002793938,0.000391848,0.000403161,0.004461645,0.091190747,0.004055387,0.00235561,0.005559513,0.002740858,0.001006065,0.003158983,0.009731145
0.00741615,0.002452715,0.461629412,0.002811561,0.004940342,0.24492707,0.051437692,0.004471318,0.109862424,0.000791636,0.003970231,0.002491349,0.000480788,0.000474524,0.005130363,0.067564486,0.002439724,0.003998693,0.003997936,0.001814588,0.000674638,0.003193842,0.012671892
0.012221976,0.002551533,0.502530688,0.00580304,0.00461919,0.236921661,0.042598334,0.004717573,0.067003575,0.000693629,0.004518212,0.00257442,0.000386616,0.000359678,0.003972327,0.068617799,0.002713729,0.012427671,0.002877598,0.001838537,0.000738179,0.003942077,0.014966337
0.019683092,0.002791281,0.506750324,0.006215557,0.003988169,0.201312999,0.060632901,0.004029031,0.104252767,0.000682841,0.004022837,0.002279428,0.000429335,0.00046532,0.006655185,0.054214623,0.002947126,0.001256348,0.004886106,0.002266085,0.000511044,0.001927454,0.007289044
0.014250135,0.00318772,0.457886243,0.004940893,0.005901203,0.24308678,0.056406107,0.004037037,0.100940723,0.000747899,0.004547474,0.002907754,0.000401117,0.000482935,0.006928392,0.066840586,0.003094346,0.003066573,0.00505561,0.002380419,0.000678695,0.002294281,0.009231687
0.0106056,0.003212289,0.435508313,0.005412349,0.006335559,0.235103477,0.07168233,0.00515753,0.119271884,0.000677081,0.011283246,0.003755024,0.000632027,0.000425616,0.005313008,0.062313058,0.003400954,0.001168093,0.005317943,0.002828552,0.00084901,0.002435205,0.006348008
0.013712707,0.003446009,0.436885177,0.003116486,0.005811096,0.251356724,0.053258358,0.003837301,0.119428973,0.000640137,0.005178591,0.003557978,0.000422905,0.000395528,0.003327647,0.062344592,0.004234389,0.007630581,0.003706613,0.002743437,0.000769364,0.003007089,0.010784739
0.011623106,0.00315157,0.470948594,0.004725592,0.004827198,0.226647417,0.050967793,0.00400263,0.118961894,0.001029895,0.003886383,0.002594145,0.000344284,0.000484858,0.006583442,0.062131695,0.003594556,0.003378772,0.00293798,0.002515041,0.000683989,0.002795831,0.010815646
0.014586053,0.003394599,0.472928618,0.005213111,0.005172917,0.231554004,0.05179681,0.003766311,0.092272791,0.002397029,0.003094849,0.002272814,0.000391531,0.00038797,0.007172092,0.075962021,0.002923445,0.005411969,0.003421054,0.00223396,0.000753461,0.00231987,0.01016161
0.013650048,0.003906642,0.469413695,0.003855547,0.005560892,0.237629077,0.055923646,0.004049558,0.088364579,0.001263153,0.002468539,0.002747653,0.000343344,0.00031808,0.005686573,0.075207586,0.003979726,0.003164905,0.005643338,0.002737408,0.000505048,0.002815186,0.010157414
0.017145082,0.003801737,0.484518654,0.006141463,0.005812175,0.209741043,0.0577229,0.004569314,0.10446786,0.002119454,0.004607599,0.002554041,0.000709845,0.000427678,0.007203269,0.06351557,0.003108276,0.003484175,0.004570858,0.001593803,0.000345186,0.002272923,0.009107602
0.011994688,0.002743121,0.478741357,0.004539685,0.005101175,0.235923749,0.054099303,0.003714429,0.089713977,0.001413686,0.00476936,0.003021224,0.000390884,0.000358171,0.004737311,0.068686421,0.003903238,0.004393366,0.003619447,0.002317431,0.000633482,0.002159693,0.012502939
0.007033028,0.002201781,0.493182216,0.005040809,0.003625396,0.215461123,0.051014415,0.004501073,0.098167742,0.000782342,0.002154024,0.002378657,0.000404559,0.000402538,0.007291634,0.080484681,0.003078888,0.00247556,0.003971787,0.002654247,0.000973891,0.002382839,0.009912498
0.00588379,0.002456105,0.485238963,0.003401772,0.004566348,0.218022257,0.049731985,0.004440105,0.094908192,0.000805071,0.002355064,0.002553198,0.000374541,0.000323586,0.004684347,0.08813339,0.003782155,0.004216846,0.003755283,0.003005777,0.001083089,0.00209717,0.01380257
0.012022527,0.002390333,0.475566197,0.006327408,0.003739296,0.229416559,0.053633035,0.00409089,0.107234297,0.001409032,0.003404937,0.002734775,0.000438511,0.00046684,0.007926634,0.064857564,0.003720591,0.002110244,0.003904451,0.002775492,0.00101219,0.002169152,0.008182977
0.016156327,0.002863698,0.458184417,0.00370634,0.004216917,0.235304518,0.051935612,0.003501948,0.116194558,0.000932941,0.00725437,0.00368851,0.000436772,0.00042942,0.005828809,0.058728266,0.004626479,0.003459112,0.003900754,0.003642269,0.001154814,0.00198251,0.011578032
0.013778127,0.002898102,0.461193031,0.003421586,0.004382963,0.217451088,0.064834151,0.004241668,0.13006678,0.000358901,0.008088893,0.003703209,0.000562053,0.000510377,0.005785626,0.05070627,0.004245773,0.003430442,0.003400058,0.003575031,0.000844185,0.001957205,0.010156477
0.024797885,0.004097104,0.506241884,0.004457611,0.00593455,0.243007178,0.039077494,0.0042302,0.080188042,0.000267111,0.005379444,0.003917572,0.000481823,0.000243366,0.002114931,0.038100251,0.003806282,0.016391056,0.001001044,0.002256572,0.001080031,0.002725124,0.009592034
